cod_mpio,nom_mpio,dpto,tasa_prom,tasa_pico,pm25,poblacion,indice_vulnerabilidad,nivel_vulnerabilidad
70717,SAN PEDRO,SUCRE,15.53475382119054,88.17786735529381,14.687246610411117,19526.0,6.55,Alto
41001,NEIVA,HUILA,11.255006351358983,76.21121393576483,14.687246610411117,371590.0,6.55,Alto
41807,TIMANÁ,HUILA,17.024143288408208,48.86868983042565,14.687246610411117,22829.0,6.55,Alto
5660,SAN LUIS,ANTIOQUIA,29.228172228451868,128.16991668955416,13.159560643113306,13434.0,6.54,Alto
85125,HATO COROZAL,CASANARE,13.388735813905452,53.763440860215056,52.0,13141.0,6.53,Alto
15514,PÁEZ,BOYACÁ,34.61627200651228,36.48303538854432,14.687246610411117,3369.0,6.53,Alto
73226,CUNDAY,TOLIMA,21.481001462977684,53.3731853116994,14.687246610411117,9459.0,6.53,Alto
68444,MATANZA,SANTANDER,29.292760696717945,117.73940345368916,13.518945628712185,5196.0,6.52,Alto
73275,FLANDES,TOLIMA,13.614194145013254,81.41664970486464,14.687246610411117,29830.0,6.51,Alto
25653,SAN CAYETANO,CUNDINAMARCA,35.302372156936,112.02389843166542,13.23243093922652,5356.0,6.51,Alto
70418,LOS PALMITOS,SUCRE,15.545767479220096,62.48372819578235,14.687246610411117,23972.0,6.51,Alto
20750,SAN DIEGO,CESAR,21.076852034440797,83.6692781623184,13.316487459299958,20880.0,6.5,Alto
70823,SAN JOSÉ DE TOLUVIEJO,SUCRE,16.339715567797697,52.93245818335803,14.687246610411117,22463.0,6.49,Alto
68245,EL GUACAMAYO,SANTANDER,50.4262779543349,53.10674455655868,13.518945628712185,2219.0,6.49,Alto
68255,EL PLAYÓN,SANTANDER,21.538103690090374,96.61835748792272,13.518945628712185,13866.0,6.48,Alto
86569,PUERTO CAICEDO,PUTUMAYO,15.926764003114878,81.16883116883118,14.687246610411117,16310.0,6.48,Alto
8078,BARANOA,ATLÁNTICO,10.548821262279445,39.926800865080686,16.887182061579654,67587.0,6.48,Alto
68720,SANTA HELENA DEL OPÓN,SANTANDER,31.71422020468962,94.18412997409936,13.518945628712185,4266.0,6.46,Alto
73148,CARMEN DE APICALÁ,TOLIMA,20.272814870020216,44.86316733961417,14.687246610411117,11003.0,6.45,Alto
68296,GALÁN,SANTANDER,48.00669491809784,48.21600771456124,13.518945628712185,2139.0,6.44,Alto
15810,TIPACOQUE,BOYACÁ,33.68137420006736,33.68137420006736,14.687246610411117,2969.0,6.44,Alto
20175,CHIMICHAGUA,CESAR,17.682287866678873,75.90007590007589,13.316487459299958,37547.0,6.44,Alto
73675,SAN ANTONIO,TOLIMA,17.99072950963667,56.903051426132734,14.687246610411117,14138.0,6.44,Alto
68266,ENCISO,SANTANDER,38.897893030794165,64.82982171799027,13.518945628712185,3085.0,6.44,Alto
68368,JESÚS MARÍA,SANTANDER,37.76031485391091,66.13756613756614,13.518945628712185,3045.0,6.43,Alto
15223,CUBARÁ,BOYACÁ,18.703868340447038,59.35598753524262,14.687246610411117,10944.0,6.42,Alto
5847,URRAO,ANTIOQUIA,19.684930511978198,74.2658292310304,13.159560643113306,47128.0,6.42,Alto
47707,SANTA ANA,MAGDALENA,18.157621204096912,51.36106831022085,14.069054054054057,27258.0,6.4,Alto
73200,COELLO,TOLIMA,18.951589766469016,59.74310465000497,14.687246610411117,10043.0,6.39,Alto
