cod_mpio,nom_mpio,enfermedad,fecha,casos_predichos,nivel_riesgo
15690,SANTA MARÍA,Dengue,2021-09-13,1.371526039971593,Bajo
17001,MANIZALES,Dengue,2021-11-08,1.2012531023629793,Bajo
17174,CHINCHINÁ,Dengue,2021-08-02,1.3622928375011658,Bajo
17380,LA DORADA,Dengue,2021-12-20,1.5652470202506152,Bajo
17442,MARMATO,Dengue,2021-12-13,1.2579377317667122,Bajo
17495,NORCASIA,Dengue,2021-01-04,1.663613583486177,Bajo
17524,PALESTINA,Dengue,2021-10-25,1.2341850157338374,Bajo
17614,RIOSUCIO,Dengue,2021-11-01,1.608952072092253,Bajo
17614,RIOSUCIO,Malaria,2021-12-27,4.611149372937218,Bajo
17653,SALAMINA,Dengue,2021-07-26,1.214445921485177,Bajo
17662,SAMANÁ,Dengue,2021-08-30,1.4494822222853134,Bajo
17777,SUPÍA,Dengue,2021-11-29,1.1892004506057314,Bajo
17867,VICTORIA,Dengue,2021-02-15,1.4457166716385026,Bajo
17877,VITERBO,Dengue,2021-12-20,1.428617353143002,Bajo
18001,FLORENCIA,Dengue,2021-12-27,3.5643227123827037,Bajo
18001,FLORENCIA,Malaria,2021-06-07,1.3259510891505855,Bajo
18029,ALBANIA,Dengue,2021-05-17,1.668326898862178,Bajo
18094,BELÉN DE LOS ANDAQUÍES,Dengue,2021-01-25,1.9498484061642052,Bajo
18150,CARTAGENA DEL CHAIRÁ,Dengue,2021-12-27,1.658356257480727,Bajo
18150,CARTAGENA DEL CHAIRÁ,Malaria,2021-12-20,2.053401024005749,Bajo
18205,CURILLO,Dengue,2021-12-13,1.8301042320629368,Bajo
18247,EL DONCELLO,Dengue,2021-12-13,1.371699847243152,Bajo
18256,EL PAUJÍL,Dengue,2021-09-27,1.2757307335907173,Bajo
18410,LA MONTAÑITA,Dengue,2021-12-06,1.5767655351458116,Bajo
18460,MILÁN,Dengue,2021-05-17,1.3834554360632234,Bajo
18592,PUERTO RICO,Dengue,2021-12-27,2.1780446389677195,Bajo
18592,PUERTO RICO,Malaria,2021-12-06,1.4466404500447014,Bajo
18610,SAN JOSÉ DEL FRAGUA,Dengue,2021-12-27,1.5480708760016397,Bajo
18753,SAN VICENTE DEL CAGUÁN,Dengue,2021-12-27,1.666467417643719,Bajo
18756,SOLANO,Dengue,2021-12-27,1.273404576472573,Bajo
18756,SOLANO,Malaria,2021-12-27,5.05765520701899,Bajo
19001,POPAYÁN,Dengue,2021-12-27,1.4143616876776557,Bajo
19075,BALBOA,Dengue,2021-11-08,1.4412872606964902,Bajo
19100,BOLÍVAR,Dengue,2021-10-25,2.057390912074772,Bajo
19100,BOLÍVAR,Malaria,2021-12-27,1.4150206614740908,Bajo
19110,BUENOS AIRES,Dengue,2021-12-27,1.480042544175813,Bajo
19130,CAJIBÍO,Dengue,2021-07-12,1.2912780802412436,Bajo
19137,CALDONO,Dengue,2021-12-20,1.3192994643988047,Bajo
19142,CALOTO,Dengue,2021-12-13,1.26549583365987,Bajo
19212,CORINTO,Dengue,2021-12-13,1.4849810502050773,Bajo
19300,GUACHENÉ,Dengue,2021-05-17,1.4301725059086432,Bajo
19318,GUAPI,Dengue,2021-12-20,2.0856559638787386,Bajo
19318,GUAPI,Malaria,2021-12-27,18.794029862299904,Medio
19397,LA VEGA,Dengue,2021-10-04,1.3287006310560812,Bajo
19418,LÓPEZ DE MICAY,Dengue,2021-12-06,1.4594087674288492,Bajo
19418,LÓPEZ DE MICAY,Malaria,2021-12-20,1.5181958475151398,Bajo
19450,MERCADERES,Dengue,2021-12-27,1.756304704669848,Bajo
19455,MIRANDA,Dengue,2021-11-29,1.3884025489696734,Bajo
19513,PADILLA,Dengue,2021-05-17,1.934097344513285,Bajo
19532,PATÍA,Dengue,2021-11-15,1.9333234455393522,Bajo
19532,PATÍA,Malaria,2021-12-27,1.2660514720920064,Bajo
19533,PIAMONTE,Dengue,2021-12-20,1.6462889810578414,Bajo
19573,PUERTO TEJADA,Dengue,2021-11-08,1.4022499216898585,Bajo
19573,PUERTO TEJADA,Malaria,2021-07-26,1.2286151646359595,Bajo
19698,SANTANDER DE QUILICHAO,Dengue,2021-12-27,2.289784089826434,Bajo
19780,SUÁREZ,Dengue,2021-11-22,1.5167842717993514,Bajo
19785,SUCRE,Dengue,2021-11-22,1.4294123209546385,Bajo
19785,SUCRE,Malaria,2021-07-05,1.279973697270878,Bajo
19807,TIMBÍO,Dengue,2021-06-28,1.3658448049070064,Bajo
19809,TIMBIQUÍ,Dengue,2021-12-27,1.2801639919051375,Bajo
19809,TIMBIQUÍ,Malaria,2021-12-27,6.645390633849883,Bajo
20001,VALLEDUPAR,Dengue,2021-12-27,9.093124522920137,Medio
20001,VALLEDUPAR,Malaria,2021-03-29,1.1368927735982957,Bajo
20011,AGUACHICA,Dengue,2021-12-27,7.397707380098662,Bajo
20011,AGUACHICA,Malaria,2021-12-27,1.1057959096202818,Bajo
20013,AGUSTÍN CODAZZI,Dengue,2021-12-27,2.0197596474718544,Bajo
20032,ASTREA,Dengue,2021-12-27,1.488892893948924,Bajo
20045,BECERRIL,Dengue,2021-12-27,2.21423178802188,Bajo
20060,BOSCONIA,Dengue,2021-12-27,5.125048275338051,Bajo
20175,CHIMICHAGUA,Dengue,2021-12-13,1.6611994838369881,Bajo
20178,CHIRIGUANÁ,Dengue,2021-12-27,1.470434809866704,Bajo
20228,CURUMANÍ,Dengue,2021-12-27,5.052103936166849,Bajo
20228,CURUMANÍ,Malaria,2021-05-17,1.4084874197051915,Bajo
20238,EL COPEY,Dengue,2021-10-25,1.5767523901925657,Bajo
20250,EL PASO,Dengue,2021-12-20,1.520300083757741,Bajo
20295,GAMARRA,Dengue,2021-11-22,1.4199618514431727,Bajo
20383,LA GLORIA,Dengue,2021-12-06,1.4466098480794392,Bajo
20400,LA JAGUA DE IBIRICO,Dengue,2021-12-20,2.7982337114206093,Bajo
20443,MANAURE BALCÓN DEL CESAR,Dengue,2021-10-25,1.3861629962834146,Bajo
20517,PAILITAS,Dengue,2021-12-27,1.9510490393332889,Bajo
20517,PAILITAS,Malaria,2021-10-18,1.1557053555629273,Bajo
20550,PELAYA,Dengue,2021-12-27,3.484221639609812,Bajo
20570,PUEBLO BELLO,Dengue,2021-12-20,1.5534857334172614,Bajo
20614,RÍO DE ORO,Dengue,2021-12-20,1.4292712274385782,Bajo
20710,SAN ALBERTO,Dengue,2021-12-27,2.755701807783602,Bajo
20750,SAN DIEGO,Dengue,2021-12-20,6.0236931672944305,Bajo
20770,SAN MARTÍN,Dengue,2021-12-27,4.2387042416139336,Bajo
20787,TAMALAMEQUE,Dengue,2021-11-22,1.3225604303735246,Bajo
23001,MONTERÍA,Dengue,2021-12-27,66.95459137385687,Alto
23001,MONTERÍA,Malaria,2021-12-27,7.484755525828298,Bajo
23068,AYAPEL,Dengue,2021-12-27,1.4056849727766196,Bajo
23068,AYAPEL,Malaria,2021-12-20,1.4162205316600303,Bajo
23090,CANALETE,Dengue,2021-12-13,1.383573010410998,Bajo
23090,CANALETE,Malaria,2021-08-23,1.5213809793285158,Bajo
23162,CERETÉ,Dengue,2021-12-27,3.301395342437096,Bajo
23162,CERETÉ,Malaria,2021-12-06,1.326662300169168,Bajo
23168,CHIMÁ,Dengue,2021-12-13,1.3613379777369747,Bajo
23182,CHINÚ,Dengue,2021-12-27,4.577861886521562,Bajo
23182,CHINÚ,Malaria,2021-11-29,1.2048793834105291,Bajo
23189,CIÉNAGA DE ORO,Dengue,2021-12-27,2.381708769039308,Bajo
23189,CIÉNAGA DE ORO,Malaria,2021-11-22,1.1427208123963593,Bajo
23300,COTORRA,Dengue,2021-10-11,1.5272276786525865,Bajo
23350,LA APARTADA,Dengue,2021-12-06,1.3953465765769724,Bajo
23350,LA APARTADA,Malaria,2021-11-22,1.1663293605979668,Bajo
23417,LORICA,Dengue,2021-12-27,1.9825414467446798,Bajo
23417,LORICA,Malaria,2021-12-06,1.461385533211074,Bajo
23419,LOS CÓRDOBAS,Dengue,2021-12-27,1.4234524028125528,Bajo
23419,LOS CÓRDOBAS,Malaria,2021-12-27,2.0176349311768735,Bajo
23464,MOMIL,Dengue,2021-04-26,1.442428673211519,Bajo
23464,MOMIL,Malaria,2021-12-13,1.1821166345254088,Bajo
23466,MONTELÍBANO,Dengue,2021-12-27,1.6667526570474478,Bajo
23466,MONTELÍBANO,Malaria,2021-12-27,7.957319454841315,Bajo
23500,MOÑITOS,Dengue,2021-12-20,1.8861033852883802,Bajo
23500,MOÑITOS,Malaria,2021-12-27,1.2550009436066283,Bajo
23555,PLANETA RICA,Dengue,2021-12-27,1.9246656375288786,Bajo
23555,PLANETA RICA,Malaria,2021-12-27,1.9110010687643055,Bajo
23570,PUEBLO NUEVO,Dengue,2021-12-27,3.141490391243577,Bajo
23570,PUEBLO NUEVO,Malaria,2021-11-29,1.175662511570247,Bajo
23574,PUERTO ESCONDIDO,Dengue,2021-12-20,1.5380676896252399,Bajo
23574,PUERTO ESCONDIDO,Malaria,2021-11-29,1.3160728213961157,Bajo
23580,PUERTO LIBERTADOR,Dengue,2021-12-27,1.5658627819338022,Bajo
23580,PUERTO LIBERTADOR,Malaria,2021-12-27,18.709151764774024,Medio
23660,SAHAGÚN,Dengue,2021-12-27,2.4845171597434494,Bajo
23660,SAHAGÚN,Malaria,2021-11-22,1.1419393362034254,Bajo
23672,SAN ANTERO,Dengue,2021-12-20,1.6257054741965216,Bajo
23672,SAN ANTERO,Malaria,2021-12-06,1.3275121163885535,Bajo
23675,SAN BERNARDO DEL VIENTO,Dengue,2021-12-20,1.4749012865245548,Bajo
23675,SAN BERNARDO DEL VIENTO,Malaria,2021-11-29,1.4004138988829227,Bajo
23682,SAN JOSÉ DE URÉ,Dengue,2021-10-04,1.429913010781338,Bajo
23682,SAN JOSÉ DE URÉ,Malaria,2021-12-13,1.5644176859755392,Bajo
23686,SAN PELAYO,Dengue,2021-12-20,1.4975731688558218,Bajo
23686,SAN PELAYO,Malaria,2021-11-15,1.1344128876692081,Bajo
23807,TIERRALTA,Dengue,2021-12-27,2.698114359697603,Bajo
23807,TIERRALTA,Malaria,2021-12-27,60.70997253695048,Alto
23815,TUCHÍN,Dengue,2021-12-13,1.5226888466499728,Bajo
23815,TUCHÍN,Malaria,2021-12-13,3.1140014719354756,Bajo
23855,VALENCIA,Dengue,2021-12-27,6.697727454305128,Bajo
23855,VALENCIA,Malaria,2021-12-27,21.477498826267887,Alto
25001,AGUA DE DIOS,Dengue,2021-12-27,1.5351612105774612,Bajo
25035,ANAPOIMA,Dengue,2021-10-18,1.5726127831562944,Bajo
25040,ANOLAIMA,Dengue,2021-09-20,1.5132856348479629,Bajo
25123,CACHIPAY,Dengue,2021-10-18,1.3407155278101266,Bajo
25148,CAPARRAPÍ,Dengue,2021-10-11,1.4713885426820217,Bajo
25151,CÁQUEZA,Dengue,2021-04-19,1.368010948089164,Bajo
25168,CHAGUANÍ,Dengue,2021-06-07,2.1354060063481204,Bajo
25175,CHÍA,Dengue,2021-08-09,1.195479049941154,Bajo
25245,EL COLEGIO,Dengue,2021-12-20,1.4948233625249299,Bajo
25290,FUSAGASUGÁ,Dengue,2021-12-27,1.4865561717544784,Bajo
25307,GIRARDOT,Dengue,2021-12-27,2.2336195484482606,Bajo
25320,GUADUAS,Dengue,2021-11-22,1.564730888218965,Bajo
25386,LA MESA,Dengue,2021-11-29,1.5323428691427674,Bajo
25394,LA PALMA,Dengue,2021-10-18,1.3356715912728414,Bajo
25398,LA PEÑA,Dengue,2021-09-06,1.3413434510023112,Bajo
25438,MEDINA,Dengue,2021-08-16,1.5789871184490378,Bajo
25473,MOSQUERA,Dengue,2021-12-06,1.603268062143997,Bajo
25473,MOSQUERA,Malaria,2021-12-27,15.943326768379947,Medio
25488,NILO,Dengue,2021-12-27,2.564852373342654,Bajo
