cod_mpio,municipio,enfermedad,casos_predichos,indice_vulnerabilidad,vulnerabilidad,nivel_alerta,explicacion
50450,PUERTO CONCORDIA,Dengue,1.7146821741683849,6.19,Medio,BAJO,Municipio en BAJO: se prevén 1.71 casos de Dengue (predicción Baja) y la zona tiene vulnerabilidad media (6.2/10).
50450,PUERTO CONCORDIA,Malaria,1.5207419015248176,6.19,Medio,BAJO,Municipio en BAJO: se prevén 1.52 casos de Malaria (predicción Baja) y la zona tiene vulnerabilidad media (6.2/10).
50568,PUERTO GAITÁN,Dengue,1.8365877781605984,7.78,Alto,MEDIO,Municipio en MEDIO: se prevén 1.84 casos de Dengue (predicción Baja) y la zona tiene vulnerabilidad alta (7.8/10).
50568,PUERTO GAITÁN,Malaria,1.5557277289133935,7.78,Alto,MEDIO,Municipio en MEDIO: se prevén 1.56 casos de Malaria (predicción Baja) y la zona tiene vulnerabilidad alta (7.8/10).
50573,PUERTO LÓPEZ,Dengue,3.4333361196254604,7.54,Alto,CRÍTICO,Municipio en CRÍTICO: se prevén 3.43 casos de Dengue (predicción Alta) y la zona tiene vulnerabilidad alta (7.5/10).
50573,PUERTO LÓPEZ,Malaria,1.6012785550216564,7.54,Alto,MEDIO,Municipio en MEDIO: se prevén 1.60 casos de Malaria (predicción Baja) y la zona tiene vulnerabilidad alta (7.5/10).
50577,PUERTO LLERAS,Dengue,1.454390095034428,7.39,Alto,MEDIO,Municipio en MEDIO: se prevén 1.45 casos de Dengue (predicción Baja) y la zona tiene vulnerabilidad alta (7.4/10).
50606,RESTREPO,Dengue,1.519062023189707,7.67,Alto,MEDIO,Municipio en MEDIO: se prevén 1.52 casos de Dengue (predicción Baja) y la zona tiene vulnerabilidad alta (7.7/10).
50680,SAN CARLOS DE GUAROA,Dengue,1.5444350627444925,7.69,Alto,MEDIO,Municipio en MEDIO: se prevén 1.54 casos de Dengue (predicción Baja) y la zona tiene vulnerabilidad alta (7.7/10).
50683,SAN JUAN DE ARAMA,Dengue,1.5056090456459388,7.68,Alto,MEDIO,Municipio en MEDIO: se prevén 1.51 casos de Dengue (predicción Baja) y la zona tiene vulnerabilidad alta (7.7/10).
